Url,TopicKey,Visits,UniqueVisitors,BounceRate,MedianActivePvl,OrganicSearch,Views,CSAT,CSATCount
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-get-started-node-get-intent+,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,56,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-tutorial-pattern%20i%20was%20looking%20ta%20this%20one,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,1,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/what-is-lui,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,3,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/azureibizasubscription,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,60,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-get-started-python-add-entities,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,0,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/lu,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,15,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-gquickstart-intents-only,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,1,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/publishapp/connect/evaluate,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,3,0,1,0,1
"https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-reference-prebuilt-entities,",e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,1,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis%20en%20doc.microsoft.com/en-us/azure/bot-service/,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,1,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-.net-tutorial-build-bot-framework-sample,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,2,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-csharp-tutorial-build-bot-framework-sample,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,8,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/home%20traductor,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,1,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luisnces,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,4,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-concept-uttera(optional)%20auto-inflate%20automatically%20scales%20the%20number%20of%20throughput%20units%20assigned%20to%20your%20event%20hubs%20namespace%20when%20your%20traffic%20exceeds%20the%20capacity%20of%20the%20throughput%20units%20assigned%20to%20it.ce,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,2,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/home​,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,0,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/homeg,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,2,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-quickstart-intent-and-hier-entity.kr,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,2,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-concept-language-supporf,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,1,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-get-started-create-app.md,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,2,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/homeocid=iehp,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,5,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/index.html,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,14,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-how-to-manage-versions,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,1,0,4,0,4
